episode,reward
367,-59.955191399414915
368,-66.90193651081948
369,-56.83953133277589
370,-56.24372904630286
371,-55.113424237620414
372,-65.25439448752682
373,-63.34419875723525
374,-58.27801546670379
375,-62.33542016689709
376,-48.575279692606046
377,-50.98516360451977
378,-48.65968916563857
379,-51.32266778569339
380,-62.506356189781265
381,-59.39288563703272
382,-64.38370006806538
383,-62.68132500359893
384,-58.70277385314324
385,-62.63765793366232
386,-58.48754006598657
387,-57.40801430627099
388,-63.839344667654466
389,-62.39426865430414
390,-57.15679100694828
391,-58.65983178089101
392,-56.63074018911217
393,-62.11822538086553
394,-58.558922673778355
395,-56.84820796761601
396,-54.490387235086224
397,-55.91082591830247
398,-52.80341179419307
399,-64.85363176126675
400,-54.8922201280582
401,-58.79532060444769
402,-23.11465429669007
403,-58.53203524864656
404,-63.54724181426926
405,-52.41204883495816
406,-63.324305292787464
407,-62.70314537425254
408,-62.258986756609055
409,-56.91960996081303
410,-59.98275839351239
411,-63.002882942011574
412,-58.326490285550925
413,-59.80173729098223
414,-60.92759227246671
415,-63.119208692992146
416,-56.1365053351726
417,-56.977585180966386
418,-63.13409679794852
419,-63.80535756983989
420,-64.09187109047548
421,-54.96495098008411
422,-59.21281353869146
423,-58.75551664017866
424,-63.87250455032169
425,-64.98596965719894
426,-55.17406558270308
427,-61.718730681901
428,-61.93628068535654
429,-52.501247174425686
430,-60.9390361376479
431,-67.706320758793
432,-58.89512179668089
433,-53.57897165424365
434,-59.85201427995842
435,-56.86156184012351
436,-54.589492157929136
437,-55.342790592654254
438,-60.03774478805526
439,-69.59351676281217
440,-62.57076850186959
441,-47.553615395753184
442,-12.95581072739274
443,-67.09640676460441
444,-61.47554567332198
445,-48.16905178193822
446,-64.51058525118206
447,-56.17866164793619
448,-58.93106422610171
449,-58.400574680027205
450,-51.79800226189321
451,-51.40912870085465
452,-56.983109028875354
453,-63.19151973342115
454,-62.78730915893415
455,-58.70698533880799
456,-50.136518141147086
457,-63.68581190322804
458,-60.71428349167919
459,-53.90958757907387
460,-59.34093178854938
461,-59.09377574028377
462,-63.14089918596054
463,-55.85272762297871
464,-57.9412798463151
465,-68.6746052700328
466,-59.720381020348924
467,-58.73943676370342
468,-60.906319571635116
469,-56.82801383315109
470,-59.8386966781154
471,-63.484601777789464
472,-60.29297433957076
473,-62.088076995483235
474,-58.96254399565475
475,-51.314715106899264
476,-55.12221817548957
477,-58.845819593088535
478,-55.54523869520749
479,-54.48044499257255
480,-57.49637470895569
481,-55.98568985490127
482,-5.729555349254673
483,-53.32373698403225
484,-62.51882584385849
485,-58.409128680546786
486,-59.56275307727615
487,-56.245706452167596
488,-55.635877286080856
489,-52.590563588036666
490,-57.0776125804186
491,-56.09355081177883
492,-56.34793686167126
493,-57.5908232935354
494,-58.69812482715796
495,-56.40015272184086
496,-52.3214605592343
497,-60.98789282834105
498,-56.70782452266683
499,-58.3116460418834
500,-65.19626403885194
501,-54.32955758434312
502,-57.41121665237359
503,-58.414886259305355
504,-54.90259872264565
505,-53.56223779386952
506,-57.52603301736203
507,-63.12747022634169
508,-58.56224189449385
509,-55.09931398387909
510,-54.91882429706623
511,-59.64789964184336
512,-54.80973103854756
513,-51.07987935482731
514,-55.969163882857075
515,-59.223147468846925
516,-63.35101849322475
517,-57.03466742627365
518,-66.18530631924041
519,-55.911334228703076
520,-60.27031170048859
521,-60.972024655952644
522,-58.794390806098974
523,-60.796034298143915
524,-62.69743743468179
525,-61.45664980201583
526,-59.60124285570081
527,-55.42223763059343
528,-56.31658124239519
529,-50.64749621046812
530,-50.263207737744295
531,-55.384179084582485
532,-56.343238747493224
533,-46.81871329405709
534,-53.2751727353401
535,-59.90958182957227
536,-55.71755402318863
537,-50.21215017921255
538,-46.68588059543675
539,-50.920890033654395
540,-54.62819542793392
541,-63.17444928863931
542,-58.3836106482798
543,-60.121281824715524
544,-52.47123555908836
545,-58.4572200679433
546,-57.32549427939535
547,-61.479708229405986
548,-52.517319346206776
549,-55.03489727887543
550,-51.00287472955099
551,-51.81930927491736
552,-56.10145540889202
553,-60.7906302219872
554,-51.30735424208849
555,-58.207353096464544
556,-57.841073868862004
557,-54.2981132711111
558,-64.80738062166253
559,-52.839129923108125
560,-56.53144829869953
561,-53.59718508869296
562,-53.04634670627628
563,-49.41643515657257
564,-57.31423591292784
565,-58.99322108182471
566,-52.79631277653131
567,-49.272609939448024
568,-59.802090073039885
569,-54.6298614085909
570,-58.67098999353635
571,-54.53562294718296
572,-57.665323685117464
573,-57.7458748647123
574,-60.03474463193227
575,-61.59788259263903
576,-59.13718694892622
577,-62.14078421787282
578,-55.51593020237537
579,-58.78365966747592
580,-56.16824945512945
581,-65.2176413242663
582,-55.60829410553629
583,-50.64026801884021
584,-52.5085378690006
585,-59.210629930438635
586,-56.869643633383205
587,-55.52121048653149
588,-54.45489318693354
589,-50.627233817627825
590,-58.86224518148048
591,-59.47344657490799
592,-58.420246940680336
593,-58.17322259160312
594,-55.76989888681214
595,-56.53535576867082
596,-57.53017680720795
597,-54.44543226818422
598,-58.679257035219045
599,-59.55603052944984
600,-62.6052319334061
601,-49.316618683393955
602,-59.53552977520415
603,-34.72764423242975
604,-56.60108812961239
605,-59.66478995440087
606,-60.133602689545036
607,-53.64702457104373
608,-53.85210218800245
609,-52.99798712071754
610,-53.204608915061044
611,-54.14186981695272
612,-53.06744832873133
613,-57.94019641772832
614,-56.57467653917527
615,-59.394717053542756
616,-58.02374288841315
617,-52.07128096003658
618,-56.68407770052919
619,-52.82882961413395
620,-49.77749864445783
621,-60.7756824684213
622,-46.6194771816586
623,-56.40690786907456
624,-59.10051162653312
625,-56.98577642054216
626,-63.002873511563465
627,-55.75640594650428
628,-57.077296088228195
629,-64.71394680589923
630,-54.36189877487883
631,-56.28042698674084
632,-51.07264492063514
633,-47.24703189874345
634,-49.72515016939204
635,-53.34307613415034
636,-48.79634707312454
637,-58.53471379573371
638,-53.54283874794777
639,-59.66306001598748
640,-46.8349063231343
641,-60.08068818130022
642,-51.64667342111941
643,-24.099633565702327
644,-63.14351666563761
645,-62.527129548335395
646,-55.52208389017935
647,-55.334540373552194
648,-44.42896471347391
649,-64.5775553158363
650,-55.589368163007364
651,-53.14201960995339
652,-53.609154544466335
653,-54.60023269143835
654,-54.07980112996876
655,-56.399112745754564
656,-57.65251437805339
657,-57.16034771879036
658,-58.36520812918521
659,-57.23182961046176
660,-58.89379140451798
661,-58.807967226552044
662,-58.691037567859425
663,-56.74888988651764
664,-60.37292928722942
665,-63.64812382450807
666,-53.512848700796354
667,-62.83994538361019
668,-56.99429397473879
669,-61.01338089635408
670,-58.71660920306
671,-57.01157618352734
672,-60.1999621562402
673,-53.662699092740546
674,-58.63109200336588
675,-52.02233915576857
676,-56.073999714929926
677,-60.54811629912311
678,-54.174635567718965
679,-45.39334709844734
680,-62.60933535145942
681,-56.126446702762465
682,-56.84667999968752
683,-19.172250084178362
684,-50.42599760478178
685,-56.39766203059265
686,-59.191422947808164
687,-60.87349206429062
688,-57.05029964422686
689,-54.99128849262871
690,-55.262117241836776
691,-55.864384962104175
692,-59.38241770643523
693,-53.59512682740907
694,-60.275047499372356
695,-58.80036253837899
696,-53.889306295775036
697,-51.646784191062174
698,-51.200491675112175
699,-60.12102833252487
700,-57.64823025545905
701,-63.77366655584186
702,-51.001731595154624
703,-57.04441580849501
704,-49.27407928274734
705,-58.98917078651871
706,-56.269639655458576
707,-59.82386035698119
708,-51.37100823771427
709,-55.09034668058804
710,-61.06597684219925
711,-55.53357192921267
712,-69.22942711905438
713,-62.12965366543768
714,-52.89561569150446
715,-55.7165923034483
716,-56.76993685691324
717,-60.6886290727274
718,-51.6777651435322
719,-51.49386290332425
720,-50.25804718532919
721,-62.998817500279976
722,-53.99344709201282
723,-9.316124537447786
724,-54.19350005580817
725,-59.282688504390855
726,-54.45712700725343
727,-58.56797116483558
728,-55.410701023794665
729,-56.77571728532747
730,-47.12613613568177
731,-63.23951454906624
732,-60.47346256926226
733,-56.27301291682061
734,-57.27626583885046
735,-42.52967194982468
736,-54.52816370355242
737,-59.786173071482224
738,-50.47655375567872
739,-55.766544777305874
740,-57.65591435278564
741,-57.14983983118655
742,-57.65299461613494
743,-51.93192508074747
744,-54.06965395233895
745,-48.649655933175104
746,-63.51719970619017
747,-58.15811826114131
748,-60.69990064797028
749,-51.88838659572591
750,-56.48014915955117
751,-54.98614632924774
752,-54.96544948468321
753,-55.368824589889726
754,-63.24985038753731
755,-57.505081737777495
756,-60.0002351717286
757,-51.23493266965453
758,-64.99104060208255
759,-59.50491802984576
760,-51.1332820113964
761,-54.91213645094361
762,-60.8906589321734
763,-52.95416940518947
764,-53.19644043391882
765,-57.59750042867304
766,-62.39872043250476
767,-55.58800607866384
768,-56.78482156852387
769,-54.51255894707049
770,-53.90431611443366
771,-60.75800589735341
772,-51.34595464442933
773,-50.044154493043216
774,-53.95108622779341
775,-58.39536573961763
776,-50.711986671004965
777,-57.98598549238027
778,-61.353841370101364
779,-51.81094181896739
780,-64.12008585289992
781,-57.58757659820289
782,-62.45859363546881
783,-52.317048066816234
784,-58.01815653378761
785,-49.65019710534964
786,-54.73315803436563
787,-52.52709126940428
788,-55.31153569015923
789,-56.12418103859358
790,-58.63406752816035
791,-50.94427771348852
792,-52.97869441165815
793,-53.750915822017696
794,-61.837992271652894
795,-55.472229130448454
796,-62.02384462720997
797,-52.18626608496778
798,-62.666662335232004
799,-55.86184843059574
800,-57.81533511705246
801,-48.4512538521023
802,-58.29369871528965
803,-60.55716537859122
804,-43.02916351577223
805,-62.992248598915886
806,-49.107803597193104
807,-62.47113851839678
808,-50.81456440760123
809,-50.334771811617266
810,-52.81892124373704
811,-57.27246794978792
812,-51.56453672058034
813,-58.46739284802186
814,-49.4898034160848
815,-44.538035580661585
816,-51.54021035338088
817,-52.7244187826687
818,-47.336720523583196
819,-53.90748890610596
820,-56.3966712257757
821,-51.66169044153615
822,-53.761861214896484
823,-55.01524141622552
824,-60.26960216370872
825,-52.72982566216731
826,-54.62997348901393
827,-50.416842675359774
828,-61.99993240174703
829,-58.477839058243774
830,-56.26159838030675
831,-57.42171347549032
832,-58.20026732344069
833,-51.42526667561808
834,-65.51490603171104
835,-55.06497020183076
836,-56.01368395784243
837,-48.97575106779515
838,-54.44559407264262
839,-54.187043083209694
840,-48.97732478144699
841,-52.498446890349264
842,-54.31205527406818
843,-57.678612677715705
844,-35.975035380654184
845,-48.42623525910461
846,-56.73956360738108
847,-53.57485579459346
848,-44.8107358483089
849,-58.559334566864564
850,-55.63848478403223
851,-59.394229565796635
852,-60.95731098002298
853,-46.118668465435995
854,-61.037767376394534
855,-51.592872843618196
856,-60.52846249708409
857,-61.00668085024155
858,-59.555601467251144
859,-60.268972192592805
860,-52.235342730936175
861,-54.981060804271515
862,-55.658648662761784
863,-57.75841452637088
864,-46.95838654263446
865,-61.49824180248891
866,-52.53902392045544
867,-62.56281364107752
868,-62.12914406275877
869,-47.23014494161531
870,-53.38963806165678
871,-55.162881292682954
872,-45.4209877286279
873,-59.81607378589056
874,-52.14368716230603
875,-51.12306413525062
876,-46.32950939416233
877,-51.27504512847009
878,-52.6487587974298
879,-54.30736439778267
880,-56.871721301804534
881,-58.28704298678644
882,-57.3342811981492
883,-46.17514047837566
884,-25.062810059082153
885,-45.15423395225433
886,-55.41890179973382
887,-61.67217063259391
888,-50.27031890550071
889,-50.76899894558597
890,-55.051417106829035
891,-55.372866579101725
892,-53.25816874664466
893,-57.53095098544204
894,-55.17965193333446
895,-53.3711115717863
896,-53.29850934562876
897,-49.18416449864299
898,-49.26860063954506
899,-50.37653511719865
900,-59.74566455175922
901,-53.65129574602765
902,-55.23533675893474
903,-56.11929538436397
904,-53.48172614335023
905,-55.0558803020728
906,-62.12903351542415
907,-59.857207945593146
908,-50.742399866266844
909,-53.81724919011631
910,-53.867852581895676
911,-55.75470649428635
912,-51.45189674940486
913,-56.512486378113756
914,-53.33558858189921
915,-55.213677958565206
916,-48.132224942696844
917,-51.972783496804325
918,-53.50005306151991
919,-54.400282306678285
920,-50.205796836999184
921,-57.863093376985084
922,-54.265345291036326
923,-61.513884528349806
924,-20.240884166499093
925,-58.5162369983491
926,-46.33968240444963
927,-57.529457017158364
928,-52.8751134951757
929,-49.60248139030575
930,-58.51876930347286
931,-53.05042575942713
932,-48.10420176516169
933,-50.48265852218821
934,-53.41625101342467
935,-47.54983970177641
936,-54.597845076770625
937,-55.14287800172124
938,-50.94022863425625
939,-50.442701445470185
940,-44.91046996563771
941,-50.29544432924955
942,-60.58222728291754
943,-46.95467106487903
944,-51.75079348084425
945,-47.347544144060535
946,-50.20875544700128
947,-44.668507037965554
948,-46.48737993134367
949,-43.686644168504266
950,-57.952435519098074
951,-52.740899341745966
952,-51.368851740181995
953,-50.711070607438984
954,-58.717440599963226
955,-44.57314298140525
956,-50.45954857139495
957,-47.35528033276896
958,-49.03289686609855
959,-58.44488980116542
960,-55.50788294520331
961,-52.01772890652049
962,-50.12548925404725
963,-51.51598451304522
964,-12.074986756796195
965,-47.146908271971526
966,-67.0126356100064
967,-41.75477054631247
968,-46.093009814888866
969,-53.32717988226678
970,-51.87744480706827
971,-51.86800542844444
972,-48.262647752022744
973,-46.49088023182245
974,-49.20204517078686
975,-50.91118177612275
976,-48.23949685216229
977,-52.99160120890444
978,-58.67468132849055
979,-51.63435830556557
980,-51.20948704502974
981,-54.01010346908625
982,-42.94054426071495
983,-47.914404705142864
984,-44.562479164970135
985,-61.890944861389286
986,-53.32644841292609
987,-50.25209391368839
988,-56.40976968262067
989,-54.11511763553216
990,-55.80770418878942
991,-52.22502928124755
992,-47.169222095131545
993,-61.82680417246343
994,-50.577555339311594
995,-47.54379437161706
996,-55.05312117448898
997,-56.38785410008884
998,-49.40023791902417
999,-44.09203459055427
1000,-51.641197878731944
1001,-47.39372713220303
1002,-59.80293541369686
1003,-49.19955716009901
1004,-3.524530569024221
1005,-58.96770208670616
1006,-54.67010041538836
1007,-46.6677217473067
1008,-54.85701537695044
1009,-51.80039706403825
1010,-52.20757712720077
1011,-44.16478526038017
1012,-52.176194405395016
1013,-45.862664232199826
1014,-46.67356366347494
1015,-56.22896439572906
